#
# File 's3x3x3_23.JinsooOh_20131108b.Bini.txt'
#
# Solution for the 3x3x3_23 matrix multiplication problem in Bini matrix format
#
# Created: 04-Jan-2023 14:38:28
#
Bini 3 3 3 23

product Gamma                        Alpha                        Beta
  1 ;  -1  0  0  0  0  0  0  0  0 ;  1  1  0  1  1  0  0  0  0 ; -1  0  1  0  0  0  0  0  0
  2 ;  -1  0  0  0  0  0  0  0  0 ;  0 -1  0  0 -1  0  0  0  0 ; -1  0  1  1  0 -1  1  0 -1
  3 ;   0  1  0  0  0  0  0  0  0 ;  1  1  0  0  0  0  1  1  0 ;  0  1  0  0  0  0  0  0  0
  4 ;   0  0  0  1  0  1  0  0  0 ;  0  0  0  1  0  1  1  0  1 ;  0  0  0  0  0  0  1  0  0
  5 ;   0  0  0 -1  0 -1  1  0  0 ;  0  0  0  1  0  0  1  0  1 ;  0  0 -1  0  0  0  1  0  0
  6 ;   0  1  0  0  0  0  1 -1  0 ;  0  0  0  0  0  0 -1  1  0 ;  0  1  0  0  0  0  0  0  0
  7 ;   0 -1  0  0  0  0  0  0  0 ;  0  1  0  0  0  0  0  1  0 ;  0  1  0  0 -1  0  0  0  0
  8 ;  -1  0 -1  0  0  0  0  0  0 ;  1  0  1  0  0  0  0  0  0 ;  0  0 -1  0  0  0  0  0  0
  9 ;   0  0  0  0  0  0  1  0  0 ;  0  0  0 -1  0  0 -1  0  0 ; -1 -1  0  0  0  0  1  0  0
 10 ;   0  0  0  0  1  0 -1  0  0 ;  0  0  0  1  0  0  0  1  0 ;  0  1  0 -1  0  0  0  0  0
 11 ;   0  0  0  0  0  0  0  0 -1 ;  0  0  0  0  0  0  0  1 -1 ;  0  0 -1  0  0  0  0  1  1
 12 ;  -1  1 -1  0  1  0  0 -1  1 ;  0  0  1  0  0  0  0  0  0 ;  0  0  1  0  0 -1  0  0 -1
 13 ;   0  0  0  0 -1  0  0  0  0 ;  0  0 -1  0  0  1  0  0  0 ;  0  0  0  0  0  0  0 -1  0
 14 ;   0 -1  0  0 -1  0  0  1  0 ;  0  0  0  0  0  0  0 -1  0 ;  0 -1  1  0 -1 -1  0 -1 -1
 15 ;   1  0  0 -1  1  0  0  0  0 ;  0  0  0 -1  1  0  0  0  0 ;  0  0  0 -1  0  0  0  0  0
 16 ;   0  0  0  0 -1  0  0  0  0 ;  0  0  0  0 -1  0  0 -1  0 ;  0  0  0  1  1  0  0  0  0
 17 ;  -1  0  0  0  0 -1  0  0  0 ;  0  1 -1  0  1  0  0  0  0 ;  0  0  0  0  0 -1  1  0 -1
 18 ;   0  0 -1  0  0  1  0  0  0 ;  0  1 -1  0  0  0  0  0  0 ;  0  0  0  0  0 -1  0  0  0
 19 ;   0  0  0  0  0 -1  0  0  0 ;  0  1 -1  0  1 -1  0  0  0 ;  0  0  0  0  0  0 -1  0  1
 20 ;   0 -1  0  0 -1  0  0  1 -1 ;  0  0  1  0  0  0  0  1  0 ;  0  0  1  0  0 -1  0 -1 -1
 21 ;   0  0  0  0  0  0  0  1 -1 ;  0  0  1  0  0  0  0  0  1 ;  0  0  0  0  0  0  0  1  0
 22 ;   0  0  0  1  0  1 -1  0 -1 ;  0  0  0  0  0  0  1  0  1 ;  0  0 -1  0  0  0  0  0  0
 23 ;   1  0  0 -1  0  0  1  0  0 ;  0  0  0 -1  0  0  0  0  0 ;  1  0 -1  1  0  0  0  0  0

#
